0,CombatZoneResize,238,225,403,390,TLResume
0,HeartTeleport,C
0,HeartMode,0,,,,,,
0,TLPause

0.5,BoneSL,B,229,390,60,0,0,125,0,0,0,0.1,0.05,5
1,BoneSL,T,414,225,60,0,180,125,0,0,0,0.1,0.05,5
1,BoneSL,L,239,215,60,0,90,125,0,0,0,0.1,0.05,5
1,BoneSL,R,404,400,60,0,270,125,0,0,0,0.1,0.05,5


1,BoneWB,B,229,390,50,0,0,125,0,0,0,1,16,0,
1,BoneWB,T,414,225,50,0,180,125,0,0,0,1,16,0,
1,BoneWB,L,239,215,50,0,90,125,0,0,0,1,16,0,
1,BoneWB,R,404,400,50,0,270,125,0,0,0,1,16,0,


1,BoneRW,B,229,390,30,0,0,125,0,0,0,60,30,1,1
1,BoneRW,T,414,225,30,0,180,125,0,0,0,60,30,1,1
1,BoneRW,L,239,215,30,0,90,125,0,0,0,60,30,1,1
1,BoneRW,R,404,400,30,0,270,125,0,0,0,60,30,1,1

2,CombatZoneResize,133,251,508,391

1,WaveBones,B,518,390,50,0,180,200,0,3,15,0,0,1.6,15,0,15
2,WaveBones,T,123,250,50,0,00,200,0,12,15,0,0,1.5,16,0,8

3,EndAttack
