0,CombatZoneResize,132,250,507,390,TLResume
0,HeartTeleport,320,377,,,,,,
0,HeartMode,1,,,,,,
0,TLPause

0,Bone,B,517,390,90,0,180,330,0,1
0,Bone,B,607,390,8,0,180,330,0,0
0.75,Bone,B,517,390,90,0,180,330,0,1
0,Bone,B,607,390,8,0,180,330,0,0
0.75,Bone,B,517,390,90,0,180,330,0,1
0,Bone,B,607,390,8,0,180,330,0,0

1,Bone,B,122,390,8,0,0,330,0,0
0,Bone,B,22,390,90,0,0,330,0,1
0.75,Bone,B,122,390,8,0,0,330,0,0
0,Bone,B,22,390,90,0,0,330,0,1
0.75,Bone,B,122,390,8,0,0,330,0,0
0,Bone,B,22,390,90,0,0,330,0,1

2,EndAttack
